"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
2547752,GC369YF,"stolna Agnes","Traditional Cache",Regular,2.0,2.5,"N 48° 43.864","E 020° 59.025",,,508,2011-11-09,2011-11-09,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-03-06,,117,127,3,5.357100,1.838545,mkr.,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,mkr.,1,,,,,
2569330,GC371CH,"Sv.Vid Lost Place","Traditional Cache",Small,2.0,2.5,"N 45° 07.547","E 014° 36.563",,,211,2011-11-01,2011-11-01,Croatia,"Jadranska Hrvatska",Primorsko-goranska,0,0,0,0,2023-11-18,,941,127,22,3.630400,2.409455,Allgäupiraten,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Allgäupiraten,1,,,,,
2569400,GC371ET,"Moňok potok","Traditional Cache",Micro,1.0,1.0,"N 48° 44.647","E 021° 16.222",,,220,2012-01-10,2012-01-15,Slovakia,"Košický kraj","Košice III",0,0,0,0,2024-03-02,,455,127,1,0.621100,0.109724,LesMarco,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,LesMarco,1,,,,,
2583007,GC37FKQ,"Kosicka citadela / The citadel of Kosice ","Traditional Cache",Other,2.0,1.5,"N 48° 42.957","E 021° 15.748",,,211,2011-11-10,2011-11-10,Slovakia,"Košický kraj","Košice IV",0,0,0,0,2024-02-28,,1350,39,1,0.233100,0.041159,mkr.,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,mkr.,1,,,,,
2595925,GC37Y2E,"#1 Biliard","Unknown Cache",Small,3.0,1.5,"N 48° 43.285","E 021° 12.960","N 48° 43.198","E 021° 12.335",312,2011-11-26,2011-11-26,Slovakia,"Košický kraj","Košice II",0,0,0,0,2024-02-29,,224,127,1,0.917400,0.162129,"matko.kubko, pjotris",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,matko.kubko,1,,,,,
2597263,GC37ZEK,"Waterfalls #1, Haj","Traditional Cache",Small,2.5,2.5,"N 48° 38.177","E 020° 51.051",,,337,2011-11-19,2011-11-19,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-10-21,,514,63,11,4.824600,2.714985,lj.,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,lj.,1,,,,,
2597871,GC38037,"Goticky kostol sv. Ducha v Moldave nad Bodvou","Traditional Cache",Micro,1.5,1.5,"N 48° 36.851","E 021° 00.084",,,219,2011-11-11,2011-11-19,Slovakia,"Košický kraj","Košice - okolie",0,0,0,1,2024-01-25,,312,127,4,2.454000,0.958337,"hidden.sk & PaliD",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,hidden.sk,1,,,,,
2606549,GC38945,Demeter,"Traditional Cache",Micro,3.0,1.5,"N 48° 45.091","E 021° 15.688",,,217,2012-10-01,2012-10-01,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-18,,302,113,76,51.006700,43.056040,LesMarco,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,LesMarco,1,,,,,
2629604,GC3923W,"Cana a jej jazera","Traditional Cache",Micro,1.5,1.5,"N 48° 35.976","E 021° 18.493",,,174,2011-12-11,2011-12-16,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-03-19,,268,121,1,1.041700,0.184112,"reci73 & family",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,reci73family,1,,,,,
2637250,GC39A2G,"Slap Savica / Savica Waterfall",Earthcache,Other,2.0,2.0,"N 46° 17.382","E 013° 47.948",,,694,2011-12-30,2011-12-30,Slovenia,Gorenjska,Bohinj,0,0,0,0,2023-12-26,,751,127,98,20.082000,16.767408,Vane,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,kompaski,1,,,,,
2657453,GC3A037,"Priemyselne jamy ""JAZERO""",Multi-cache,Micro,1.5,2.0,"N 48° 41.600","E 021° 16.900","N 48° 41.450","E 021° 17.447",196,2012-01-01,2011-12-31,Slovakia,"Košický kraj","Košice IV",0,0,0,0,2023-12-05,,244,127,8,7.547200,3.873637,"reci73 & family",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,reci73family,1,,,,,
2658409,GC3A132,"Hui, Dui, Lui - Kod Dada urkov","Unknown Cache",Micro,3.0,1.5,"N 48° 43.243","E 021° 14.757","N 48° 43.235","E 021° 14.771",216,2011-12-31,2011-12-31,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-09,,325,127,3,2.173900,0.742026,cenki,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,cenki,1,,,,,
2661714,GC3A4GN,"Záhradníctvo Valentová","Traditional Cache",Micro,1.5,1.0,"N 48° 09.603","E 017° 03.300",,,169,2012-11-02,2012-11-24,Slovakia,"Bratislavský kraj","Bratislava IV",0,0,0,0,2024-03-18,,1068,127,3,0.833300,0.283800,"Traja musketieri",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,traja_musketieri,1,,,,,
2671610,GC3AETX,"Trocha kryptografie","Unknown Cache",Small,4.5,1.5,"N 48° 42.240","E 021° 14.570","N 48° 41.641","E 021° 15.196",237,2012-02-14,2012-02-17,Slovakia,"Košický kraj","Košice IV",0,0,0,0,2024-02-20,,224,127,6,4.545500,2.099604,Bajuz123,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Bajuz123,1,,,,,
2676555,GC3AKZD,"S O L I V A R","Unknown Cache",Micro,3.0,2.0,"N 48° 58.599","E 021° 16.330","N 48° 58.600","E 021° 16.727",254,2012-02-12,2012-02-11,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-02-08,,333,127,10,6.329100,3.473806,"B T Team",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,"B T Team",1,,,,,
2680882,GC3ARF0,"Slavin monument","Traditional Cache",Regular,2.0,2.5,"N 48° 09.256","E 017° 05.989",,,243,2012-01-12,2012-02-29,Slovakia,"Bratislavský kraj","Bratislava I",0,0,0,0,2024-03-16,,3467,127,90,6.245700,5.108827,Pindulak,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Pindulak,1,,,,,
2682139,GC3ATRH,"Gastanovy sad","Traditional Cache",Small,1.5,2.5,"N 48° 45.735","E 021° 16.424",,,325,2012-01-13,2012-01-14,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-09,,430,127,1,0.719400,0.127106,hellryba,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,hellryba,1,,,,,
2693680,GC3B6RV,"U S B  disk  PO","Traditional Cache",Micro,4.0,1.5,"N 48° 58.862","E 021° 15.273",,,238,2012-02-21,2012-03-05,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-03-17,,423,127,14,7.179500,4.324485,"B T Team",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,"B T Team",1,,,,,
2696740,GC3B9ZH,"Kosicka Kalvaria","Traditional Cache",Other,2.0,1.5,"N 48° 43.668","E 021° 14.157",,,243,2012-01-24,2012-01-27,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-09,,858,127,4,1.754400,0.684297,mina989,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,mina989,1,,,,,
2704469,GC3BJ0W,"Methuselah machine - Plough","Traditional Cache",Micro,1.5,1.0,"N 48° 03.101","E 017° 08.181",,,132,2012-01-27,2012-01-27,Slovakia,"Bratislavský kraj","Bratislava V",0,0,0,1,2024-02-28,,823,127,4,0.829900,0.323177,drobec,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,drobec,1,,,,,
2723239,GC3C6HB,"Prazska :-)","Traditional Cache",Small,2.0,1.5,"N 48° 09.733","E 017° 05.852",,,215,2012-02-06,2012-02-06,Slovakia,"Bratislavský kraj","Bratislava I",0,0,0,0,2024-03-16,,817,127,4,1.156100,0.450459,skapo,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,skapo,1,,,,,
2749567,GC3D2YM,"Solivar 2","Traditional Cache",Micro,1.5,2.0,"N 48° 58.685","E 021° 16.792",,,290,2012-02-21,2012-02-29,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-03-02,,596,127,3,1.327400,0.452447,"B T Team",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,"B T Team",1,,,,,
2749573,GC3D2YV,"Solivar 3","Traditional Cache",Micro,1.5,1.5,"N 48° 58.722","E 021° 16.469",,,259,2012-02-21,2012-02-29,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-03-14,,736,127,4,1.562500,0.609250,"B T Team",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,"B T Team",1,,,,,
2763141,GC3DH2G,Cvernovka,"Traditional Cache",Micro,1.5,1.5,"N 48° 08.832","E 017° 07.874",,,140,2012-02-28,2012-02-29,Slovakia,"Bratislavský kraj","Bratislava II",1,0,0,0,2023-06-27,2023-12-03,2204,0,10,1.305500,0.710625,Pionierka_Tibi64,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Pionierka_Tibi64,1,,,,,
2766282,GC3DMAV,"NADRAZI HK","Traditional Cache",Micro,1.0,1.5,"N 50° 12.833","E 015° 48.614",,,235,2012-03-01,2012-03-05,Czechia,"Královéhradecký kraj","Hradec Králové",0,0,0,0,2024-03-21,,4135,127,15,1.082300,0.656940,Emeritushk,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Emeritushk,1,,,,,
2782249,GC3E5YX,"Termalni prameny Velke Losiny",Earthcache,"Not chosen",1.0,1.0,"N 50° 02.124","E 017° 02.105",,,412,2012-03-09,2012-03-10,Czechia,"Olomoucký kraj",Šumperk,0,0,0,0,2024-03-13,,1480,127,21,2.755900,1.809473,"stagr & marcuska",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,"stagr & marcuska",1,,,,,
2804308,GC3EXXF,"Areal zdravi","Traditional Cache",Micro,1.5,1.5,"N 50° 01.519","E 017° 02.122",,,385,2012-09-24,2012-09-24,Czechia,"Olomoucký kraj",Šumperk,0,0,0,0,2024-03-17,,4019,127,10,0.747400,0.406463,"Mates434 Team",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,"Mates434 Team",1,,,,,
2805041,GC3EYN4,"(Modry) Kostol sv. Alzbety","Traditional Cache",Other,2.0,1.5,"N 48° 08.588","E 017° 07.030",,,147,2012-03-19,2012-03-20,Slovakia,"Bratislavský kraj","Bratislava I",0,0,0,0,2024-03-21,,5255,127,465,18.271100,16.817959,"Harry_Potter_SVK, adopted by svieca",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,svieca,1,,,,,
