"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
7735858,GC8TEJQ,"Prejdi sa Popročom#2",Multi-cache,Regular,3.0,3.0,"N 48° 42.244","E 020° 57.988","N 48° 41.859","E 020° 58.090",314,2020-06-06,2020-06-06,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-10-31,,29,127,1,4.166700,0.739327,Domco777,tsk88,"2024-03-22 13:43:42",,,Domco777,,,,,,
7737349,GC8TG4V,"# 3 Lesopark Sever - Vtáky","Unknown Cache",Small,3.0,2.5,"N 49° 08.871","E 020° 26.274",,,687,2020-06-07,2020-06-08,Slovakia,"Prešovský kraj",Kežmarok,0,0,0,0,2023-08-05,,49,127,5,17.857100,7.878386,Dusan44,tsk88,"2024-03-22 13:45:16",,,Dusan44,,,,,,
7738633,GC8THF8,"Raj masozraviek","Unknown Cache",Small,3.0,3.5,"N 49° 03.020","E 020° 16.980",,,677,2020-06-07,2020-06-09,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-01,,47,127,5,17.857100,7.878386,marmor907,tsk88,"2024-03-22 13:45:16",,,marmor907,,,,,,
7739765,GC8TJMR,"Gemerskí ľadoborci","Traditional Cache",Regular,3.5,4.5,"N 48° 33.882","E 020° 27.952",,,239,2020-06-06,2020-06-10,Slovakia,"Košický kraj",Rožňava,0,0,0,0,2024-01-04,,35,59,15,65.217400,44.889977,eerwingeo,tsk88,"2024-03-22 13:44:32",,,eerwingeo,,,,,,
7740639,GC8TKHZ,"#4. Gerlachov (Podtatranské obce)","Traditional Cache",Small,1.5,1.5,"N 49° 06.058","E 020° 12.447",,,808,2020-06-08,2020-06-11,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-11,,121,127,2,3.508800,0.967546,MarMonPP,tsk88,"2024-03-22 13:45:16",,,MarMonPP,,,,,,
7740661,GC8TKJN,"Mesačné pleso","Traditional Cache",Small,2.0,2.5,"N 48° 44.404","E 020° 58.484",,,735,2020-06-08,2020-06-08,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-03-09,,29,127,1,4.166700,0.739327,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7741555,GC8TMGG,"Movies - Catch me if you can","Unknown Cache",Small,4.5,2.5,"N 48° 45.686","E 021° 16.616","N 48° 45.040","E 021° 16.201",334,2020-07-14,2020-07-15,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-06,,104,127,1,1.315800,0.232642,erik.grave1,tsk88,"2024-03-22 13:43:42",,,erik.grave1,1,,,,,
7741568,GC8TMGY,"Movies - Martian","Unknown Cache",Small,4.5,2.0,"N 48° 45.652","E 021° 16.702","N 48° 45.114","E 021° 16.383",332,2020-07-14,2020-07-15,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-06,,101,127,2,2.777800,0.765086,erik.grave1,tsk88,"2024-03-22 13:43:42",,,erik.grave1,1,,,,,
7741585,GC8TMHF,"Movies - Bonus 1","Unknown Cache",Small,5.0,3.5,"N 48° 45.369","E 021° 16.616","N 48° 45.809","E 021° 15.630",280,2020-07-14,2020-07-15,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-06,,80,127,22,34.375000,23.922975,erik.grave1,tsk88,"2024-03-22 13:43:42",,,erik.grave1,1,,,,,
7741786,GC8TMQZ,"Movies - Interstellar","Unknown Cache",Small,4.5,2.5,"N 48° 45.607","E 021° 16.715","N 48° 44.953","E 021° 16.280",327,2020-07-14,2020-07-15,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-06,,105,127,1,1.333300,0.235749,erik.grave1,tsk88,"2024-03-22 13:43:42",,,erik.grave1,1,,,,,
