"GC9DCH1","Traditional Cache","","","F","","ROK #354 - Viliam Pauliny","2,38","N","_LIGHTYEAR_","20/12/2022","20/03/2024","23/05/2023","Micro","2,0","1,0","23/05/2023","","","20/03/2024"
"GCA851N","Event Cache","","","F","","Bratislava Meet&Greet","2,38","N","geyerwally","24/05/2023","20/03/2024","24/05/2023","Other","1,0","1,5","24/05/2023","","","20/03/2024"
"GC890BE","Virtual Cache","","","F","","Charakter","2,39","N","*natalka","02/04/2021","20/03/2024","17/01/2024","Virtual","1,5","1,0","17/01/2024","","","20/03/2024"
"GC9C9C9","Wherigo Cache","","","F","","Hartmut Tautz Memorial","2,41","SW","geoawards team","03/06/2021","20/03/2024","16/11/2022","Regular","1,5","1,5","16/11/2022","","","20/03/2024"
"GC1W6MT","Traditional Cache","","","F","","Pozor! Štátna hranica.","2,41","SW","GeoGanG.sk","21/07/2009","20/03/2024","16/11/2022","Other","3,5","2,0","16/11/2022","","","20/03/2024"
"GCACAG2","Earthcache","","","F","","Bratislavský masiv - pegmatity","2,44","N","ThisIsTom","04/08/2023","20/03/2024","17/01/2024","Other","2,5","1,5","17/01/2024","","","20/03/2024"
"GCAJK5H","Virtual Cache","","","F","","  Hodiny - Clock - Uhr - Óra","2,46","N","RFFteam","29/02/2024","20/03/2024","03/03/2024","Virtual","1,0","1,0","03/03/2024","","","20/03/2024"
"GC890WN","Virtual Cache","","","F","","Múzeum hodín / Clock Museum","2,47","N","velkymati","23/07/2019","20/03/2024","05/11/2022","Virtual","1,0","1,0","05/11/2022","","","20/03/2024"
"GC1NG2P","Unknown Cache","","","F","","Cisarove saty","2,47","N","cdrw","12/03/2009","20/03/2024","19/12/2023","Other","3,0","1,5","19/12/2023","","","20/03/2024"
"GCAEYFV","Event Cache","","","F","","Pondelkové štebotačky #4 [Staručký Prešporok]","2,49","S","ozpermonici","13/11/2023","20/03/2024","13/11/2023","Other","1,0","1,0","13/11/2023","","","20/03/2024"
"GC1HWA2","Traditional Cache","","","F","","Svieckova...","2,50","N","boyt","08/11/2008","20/03/2024","14/11/2019","Micro","2,5","1,5","14/11/2019","","","20/03/2024"
"GC9WERV","Unknown Cache","","","F","","Geocacheologicka ambulancia","2,51","SE","FRUlTIK","27/10/2022","20/03/2024","17/02/2024","Regular","3,5","1,5","17/02/2024","","","20/03/2024"
"GC8YZVE","Multicache","","","F","","Bratislavské Fontány / Bratislava Fountains","2,53","N","rado37","26/08/2020","20/03/2024","03/04/2023","Small","2,0","1,5","03/04/2023","","","20/03/2024"
"GCAGYHF","Event Cache","","","F","","An Irishman in Bratislava","2,53","N","Hasamelis","19/12/2023","20/03/2024","20/12/2023","Other","1,0","1,0","20/12/2023","","","20/03/2024"
"GCAFXGG","Event Cache","","","F","","Pondelkové štebotačky #6 [Vianočné dielne]","2,53","S","ozpermonici","11/12/2023","20/03/2024","11/12/2023","Other","1,0","1,0","11/12/2023","","","20/03/2024"
"GCAFYNG","Event Cache","","","F","","Pondelkové štebotačky #10 - Predpoveď počasia","2,53","S","ozpermonici","26/02/2024","20/03/2024","26/02/2024","Other","1,0","1,0","26/02/2024","","","20/03/2024"
"GCAKN6Z","Event Cache","","","F","","TeamNitimana on Tour - Slovakia","2,53","N","TeamNitimana","08/03/2024","20/03/2024","08/03/2024","Other","1,0","1,5","08/03/2024","","","20/03/2024"
"GCAC8AD","Event Cache","","","F","","M&G Italians in Bratislava","2,56","N","ValeSuomi & Catcelia","17/08/2023","20/03/2024","17/08/2023","Other","1,0","1,5","17/08/2023","","","20/03/2024"
"GC7B9JP","Virtual Cache","","","F","","Čumil","2,58","N","grim.sk","24/08/2017","20/03/2024","03/06/2022","Virtual","1,0","1,0","03/06/2022","","","20/03/2024"
"GC12ZCW","Traditional Cache","","","F","","Cumil :: Man at work","2,59","N","Fifo821","17/05/2007","20/03/2024","25/11/2022","Micro","2,5","1,0","25/11/2022","","","20/03/2024"
"GCA5F8H","Event Cache","","","F","","Meet & greet Estonia edition","2,59","N","helgs","20/03/2023","20/03/2024","20/03/2023","Other","1,0","1,0","20/03/2023","","","20/03/2024"
"GC7APVE","Multicache","","","F","","Dunajská flotila - pomník","2,62","N","Ringiš","13/04/2018","20/03/2024","20/10/2022","Micro","3,0","1,0","20/10/2022","","","20/03/2024"
"GC11B7N","Traditional Cache","","","F","","Kačacia fontána","2,62","NE","lisky --> Rikitan --> Simon Cooper --> Labutka","09/03/2007","20/03/2024","16/10/2022","Micro","1,5","1,0","16/10/2022","","","20/03/2024"
"GC2Q9KW","Unknown Cache","","","F","","Churches of Old Pressburg","2,64","N","boyt","27/03/2011","20/03/2024","15/11/2023","Other","3,0","1,5","15/11/2023","","","20/03/2024"
"GC890QH","Virtual Cache","","","F","","Korzo","2,67","N","kafemata","09/06/2019","20/03/2024","03/06/2022","Virtual","1,5","1,0","03/06/2022","","","20/03/2024"
"GC4XPZ8","Traditional Cache","","","F","","Bartfayova Marina I.  / Bartfay's Marina I.","2,68","N","martin the cacher","29/01/2014","20/03/2024","08/10/2022","Micro","1,5","1,5","08/10/2022","","","20/03/2024"
"GC7R8Y5","Wherigo Cache","","","F","","Stylova Bratislava / Stylish Bratislava","2,73","N","kafemata","22/06/2018","20/03/2024","15/12/2023","Micro","1,5","1,5","15/12/2023","","","20/03/2024"
"GC53EZT","Wherigo Cache","","","F","","Downtown","2,74","N","kikonan","08/08/2014","20/03/2024","03/06/2022","Large","2,0","2,0","03/06/2022","","","20/03/2024"
"GC9DBPR","Traditional Cache","","","F","","ROK #147 - Ladislav Chudík","2,78","NE","_LIGHTYEAR_","27/05/2022","20/03/2024","17/10/2022","Other","3,0","2,0","17/10/2022","","","20/03/2024"
"GC3EYN4","Traditional Cache","","","F","","(Modry) Kostol sv. Alzbety","2,79","NE","Harry_Potter_SVK, adopted by svieca","19/03/2012","20/03/2024","09/11/2019","Other","2,0","1,5","09/11/2019","","","20/03/2024"
"GC88ZE9","Virtual Cache","","","F","","MICHALSKA BRANA/ MICHAEL’S GATE","2,81","N","lafin","16/06/2019","20/03/2024","03/06/2022","Virtual","2,0","1,5","03/06/2022","","","20/03/2024"
"GCA7CY7","Event Cache","","","F","","Deň modrého prepínača","2,82","N","JaSaHram","02/05/2023","20/03/2024","02/05/2023","Other","1,0","1,0","02/05/2023","","","20/03/2024"
"GCAHVJ3","Traditional Cache","","","F","","AnOther RO(c)K - #013","2,82","N","_Dragonkeeper_","13/01/2024","20/03/2024","16/01/2024","Other","2,0","1,0","16/01/2024","","","20/03/2024"
"GC7MV59","Traditional Cache","","","F","","Stara trznica / Old Market Hall","2,83","N","kafemata","13/05/2018","20/03/2024","13/11/2019","Small","1,5","1,0","13/11/2019","","","20/03/2024"
"GC7DYPF","Earthcache","","","F","","GE: Fosílie vo vápenci","2,85","N","JaSaHram","22/10/2017","20/03/2024","04/01/2024","Other","1,0","1,0","04/01/2024","","","20/03/2024"
"GC9DC20","Multicache","","","F","","ROK #280 - Milan Michal Harminc","2,88","N","_LIGHTYEAR_","07/10/2022","20/03/2024","27/10/2022","Micro","2,0","2,5","27/10/2022","","","20/03/2024"
"GC9DBTR","Multicache","","","F","","ROK #175 -Deň pamiatky obetí komunistického režimu","2,95","NE","_LIGHTYEAR_","24/06/2022","20/03/2024","18/10/2022","Micro","2,5","1,0","18/10/2022","","","20/03/2024"
"GCA6P4M","Earthcache","","","F","","Liesegangove kruhy","2,96","N","matzoo70","02/04/2023","20/03/2024","16/01/2024","Other","2,0","1,5","16/01/2024","","","20/03/2024"
"GCAJX5X","Unknown Cache","","","F","","AnOther RO(c)K - #063","2,99","N","_Dragonkeeper_","03/03/2024","20/03/2024","15/03/2024","Other","1,5","1,5","15/03/2024","","","20/03/2024"
"GCAEN5H","Unknown Cache","","","F","","Dejiny svetového filmu","3,01","N","Chris789ds","26/09/2023","20/03/2024","15/12/2023","Micro","2,0","1,5","15/12/2023","","","20/03/2024"
"GCRYK0","Traditional Cache","","","F","","Kozia Brána","3,04","N","Rikitan","09/01/2006","20/03/2024","15/03/2023","Small","2,5","1,5","15/03/2023","","","20/03/2024"
"GCRYWH","Unknown Cache","","","F","","Eternal tree","3,06","N","Rikitan","16/01/2006","20/03/2024","11/03/2023","Small","2,5","1,5","11/03/2023","","","20/03/2024"
"GC1K2AY","Traditional Cache","","","F","","Ortodoxna Synagoga .:. Orthodox Synagogue","3,08","N","SureThing II.","26/12/2008","20/03/2024","29/10/2022","Other","2,5","1,0","29/10/2022","","","20/03/2024"
"GCAJW5X","Unknown Cache","","","F","","AnOther RO(c)K - #062","3,11","N","_Dragonkeeper_","02/03/2024","20/03/2024","04/03/2024","Other","1,5","1,5","04/03/2024","","","20/03/2024"
"GCAEY0X","Event Cache","","","F","","Ružová krehkosť bytia","3,14","N","Sunshine","31/10/2023","20/03/2024","31/10/2023","Other","1,0","1,0","31/10/2023","","","20/03/2024"
"GCAJDFM","Traditional Cache","","","F","","AnOther RO(c)K - #026","3,18","NW","_Dragonkeeper_","26/01/2024","20/03/2024","03/03/2024","Other","2,0","1,5","03/03/2024","","","20/03/2024"
"GC7DYR4","Earthcache","","","F","","GE: Sopečné horniny","3,22","N","JaSaHram","22/10/2017","20/03/2024","16/01/2024","Other","1,0","1,0","16/01/2024","","","20/03/2024"
"GC7B6PF","Virtual Cache","","","F","","Hello, Madam President","3,23","N","kikonan","16/10/2017","20/03/2024","16/01/2024","Virtual","1,0","1,5","16/01/2024","","","20/03/2024"
"GC234Q5","Unknown Cache","","","F","","Cesta Zasvatenia","3,34","N","kuzelnikivan&honey41&mirito","19/01/2010","20/03/2024","15/12/2023","Small","3,5","1,0","15/12/2023","","","20/03/2024"
"GC3K7E7","Traditional Cache","","","F","","LL3 Kam chodia autobusy spinkat - alias pes na oko","3,35","SE","Peku5","12/05/2012","20/03/2024","17/02/2024","Micro","1,5","1,5","17/02/2024","","","20/03/2024"
"GCAETJX","Unknown Cache","","","F","","International Coffee Day ??","3,36","N","SuzaH","01/10/2023","20/03/2024","15/12/2023","Micro","3,5","1,5","15/12/2023","","","20/03/2024"
"GC892HB","Virtual Cache","","","F","","Dmitrij Ivanovič Mendelejev","3,46","N","makabeki","04/06/2019","20/03/2024","15/10/2022","Virtual","1,5","1,5","15/10/2022","","","20/03/2024"
"GCAJ3MK","Traditional Cache","","","F","","AnOther RO(c)K - #015","3,47","NE","_Dragonkeeper_","15/01/2024","20/03/2024","16/01/2024","Other","1,0","1,0","16/01/2024","","","20/03/2024"
"GCAEG24","Event Cache","","","F","","Piatok trinásteho","3,56","N","Friday The 13th","13/10/2023","20/03/2024","13/10/2023","Other","1,0","1,0","13/10/2023","","","20/03/2024"
"GC8G61K","Unknown Cache","","","F","","Namestie Slobody","3,57","N","JaSaHram","17/11/2019","20/03/2024","14/10/2022","Micro","2,0","2,0","14/10/2022","","","20/03/2024"
"GCAJVK8","Multicache","","","F","","AnOther RO(c)K - #047","3,63","NW","_Dragonkeeper_","16/02/2024","20/03/2024","03/03/2024","Other","2,5","2,0","03/03/2024","","","20/03/2024"
"GC52947","Traditional Cache","","","F","","LL16 Priatelstvo/Freundschaft","3,66","SE","Peku5","11/04/2014","20/03/2024","17/02/2024","Small","2,0","1,5","17/02/2024","","","20/03/2024"
"GC3DH2G","Traditional Cache","","","F","","Cvernovka","3,70","NE","Pionierka_Tibi64","28/02/2012","20/03/2024","04/05/2023","Micro","1,5","1,5","04/05/2023","","","20/03/2024"
"GCAFN1M","Event Cache","","","F","","Čas na diskusiu","3,75","N","Muslofon","07/11/2023","20/03/2024","07/11/2023","Other","1,0","2,0","07/11/2023","","","20/03/2024"
"GC9DCD0","Traditional Cache","","","FN","","ROK #311 - Vuk Stefanović Karadžić","3,76","NE","_LIGHTYEAR_","07/11/2022","20/03/2024","15/12/2023","Micro","2,5","2,0","15/12/2023","","","20/03/2024"
"GC890MK","Virtual Cache","","","F","","Slavin Virtual","3,76","N","branio","06/06/2019","20/03/2024","07/11/2023","Virtual","2,0","2,0","07/11/2023","","","20/03/2024"
"GCW3M9","Unknown Cache","","","F","","DiMARYP DESREVER","3,79","N","zuzki","17/05/2006","20/03/2024","07/09/2019","Micro","2,5","1,5","07/09/2019","","","20/03/2024"
"GC3ARF0","Traditional Cache","","","F","","Slavin monument","3,81","N","Pindulak","12/01/2012","20/03/2024","07/11/2023","Regular","2,0","2,5","07/11/2023","","","20/03/2024"
"GC6QETF","Traditional Cache","","","F","","HZS #01","3,84","SE","_miko_","01/08/2016","20/03/2024","17/02/2024","Micro","1,0","1,0","17/02/2024","","","20/03/2024"
"GC68VB1","Traditional Cache","","","F","","UL #02: Mŕtvola / Corpse","3,84","NW","robson78","29/12/2015","20/03/2024","08/03/2024","Small","2,0","2,0","08/03/2024","","","20/03/2024"
"GC9212P","Traditional Cache","","","F","","pm","3,88","N","zubrica","30/10/2020","20/03/2024","28/10/2022","Micro","1,0","1,5","28/10/2022","","","20/03/2024"
"GC1PD36","Unknown Cache","","","F","","Obchodný register / Commercial Register","3,88","N","Rikitan (original hidden by Matkulec)","01/04/2009","20/03/2024","11/06/2022","Regular","2,5","1,0","11/06/2022","","","20/03/2024"
"GC15BWR","Multicache","","","F","","Blumental","3,89","N","GeoMancaft","05/09/2007","20/03/2024","03/06/2022","Other","2,0","1,5","03/06/2022","","","20/03/2024"
"GC60H30","Traditional Cache","","","F","","Vuk Stefanović Karadžić","3,90","NE","konyk3","30/07/2015","20/03/2024","11/06/2022","Regular","1,5","1,5","11/06/2022","","","20/03/2024"
"GC2KZVV","Multicache","","","F","","Chateau Palugyay","3,93","N","skapo","04/01/2011","20/03/2024","23/03/2023","Micro","1,5","2,0","23/03/2023","","","20/03/2024"
"GC446D8","Traditional Cache","","","F","","Kostol svateho Cyrila a Metoda","3,97","N","Lorax1","10/01/2013","20/03/2024","22/03/2023","Micro","1,5","1,0","22/03/2023","","","20/03/2024"
"GC6QETM","Traditional Cache","","","F","","HZS #02","4,01","SE","_miko_","01/08/2016","20/03/2024","17/02/2024","Micro","1,0","1,0","17/02/2024","","","20/03/2024"
"GC94F25","Unknown Cache","","","F","","1 024 739","4,04","N","ZuBor","29/12/2020","20/03/2024","30/11/2022","Micro","2,5","1,5","30/11/2022","","","20/03/2024"
"GC9NGBQ","Unknown Cache","","","F","","Obrázková - Valentín","4,07","NE","lenicka8788","13/02/2022","20/03/2024","12/11/2022","Micro","3,0","1,5","12/11/2022","","","20/03/2024"
